axis,group,auc,auc_gap,flagged,demographic_parity_diff,overall_auc
sex,Female,0.5571,-0.0025,False,0.0029,0.5596
sex,Male,0.5621,0.0025,False,0.0029,0.5596
age_band,75+,0.5332,-0.0264,False,0.0712,0.5596
age_band,65–74,0.5496,-0.0099,False,0.0712,0.5596
age_band,45–64,0.5588,-0.0007,False,0.0712,0.5596
age_band,18–44,0.5597,0.0001,False,0.0712,0.5596
drug_class,sglt2,0.4997,-0.0599,True,0.8249,0.5596
drug_class,metformin,0.5043,-0.0553,True,0.8249,0.5596
drug_class,glp1,0.5142,-0.0454,False,0.8249,0.5596
