model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
LinearModel,0.5512021139130219,0.5625134016977587,roc_auc,0.012540102005004883,0.010512828826904297,2.10158371925354,0.012540102005004883,0.010512828826904297,2.10158371925354,1,True,5
WeightedEnsemble_L2,0.5512021139130219,0.5625134016977587,roc_auc,0.014008045196533203,0.010927677154541016,2.141211748123169,0.0014679431915283203,0.00041484832763671875,0.039628028869628906,2,True,6
CatBoost,0.5504716585156346,0.5605362571107831,roc_auc,0.04903125762939453,0.0008940696716308594,2.2446630001068115,0.04903125762939453,0.0008940696716308594,2.2446630001068115,1,True,2
XGBoost,0.5459060599367085,0.5491390328914452,roc_auc,0.05649209022521973,0.0029621124267578125,0.6913247108459473,0.05649209022521973,0.0029621124267578125,0.6913247108459473,1,True,4
RandomForest,0.5219300643631807,0.513478954604508,roc_auc,0.42980098724365234,0.06625795364379883,1.3802239894866943,0.42980098724365234,0.06625795364379883,1.3802239894866943,1,True,1
ExtraTrees,0.5212185348598988,0.5132009350706138,roc_auc,0.32509279251098633,0.052056074142456055,0.9231367111206055,0.32509279251098633,0.052056074142456055,0.9231367111206055,1,True,3
