model,split,auroc,auroc_ci_low,auroc_ci_high,auprc,brier,ece,mce,op_threshold,accuracy,precision,recall,specificity,f1
Logistic Regression (primary),oof,0.5596,0.5525,0.5668,0.477,0.2403,0.0047,0.7076,0.419,0.5713,0.4864,0.4259,0.6761,0.4542
XGBoost,oof_nested,0.5599,0.5527,0.5673,0.4777,0.2412,0.0124,0.1279,0.421,0.5739,0.4896,0.4176,0.6864,0.4508
XGBoost,outer_fold_1,0.5558,,,0.4681,0.2417,,,,,,,,
XGBoost,outer_fold_2,0.5622,,,0.4878,0.2403,,,,,,,,
XGBoost,outer_fold_3,0.5633,,,0.4787,0.241,,,,,,,,
XGBoost,outer_fold_4,0.5695,,,0.4883,0.2406,,,,,,,,
XGBoost,outer_fold_5,0.5467,,,0.4721,0.2424,,,,,,,,
